"game_id","population"
1700,"sona_ucsd"
1702,"sona_ucsd"
1703,"sona_ucsd"
1704,"sona_ucsd"
1705,"sona_ucsd"
1706,"sona_ucsd"
1707,"sona_ucsd"
1708,"sona_ucsd"
1709,"sona_ucsd"
1710,"sona_ucsd"
1713,"sona_ucsd"
1714,"sona_ucsd"
1715,"sona_ucsd"
1716,"sona_ucsd"
1717,"sona_ucsd"
1718,"sona_ucsd"
1719,"sona_ucsd"
1720,"sona_ucsd"
1721,"sona_ucsd"
1722,"sona_ucsd"
1725,"sona_ucsd"
1727,"sona_ucsd"
1729,"sona_ucsd"
1730,"sona_ucsd"
1731,"sona_ucsd"
1732,"sona_ucsd"
1733,"sona_ucsd"
1735,"sona_ucsd"
1736,"sona_ucsd"
1737,"sona_ucsd"
1738,"sona_ucsd"
1739,"sona_ucsd"
1740,"sona_ucsd"
1741,"sona_ucsd"
1742,"sona_ucsd"
1744,"sona_ucsd"
1745,"sona_ucsd"
1746,"sona_ucsd"
1747,"sona_ucsd"
1748,"sona_ucsd"
1751,"sona_ucsd"
1752,"sona_ucsd"
1754,"sona_ucsd"
1755,"sona_ucsd"
1756,"sona_ucsd"
1757,"sona_ucsd"
1758,"sona_ucsd"
1759,"sona_ucsd"
1760,"sona_ucsd"
1761,"sona_ucsd"
1762,"sona_ucsd"
1763,"sona_ucsd"
1764,"sona_ucsd"
1765,"sona_ucsd"
1766,"sona_ucsd"
1767,"sona_ucsd"
1768,"sona_ucsd"
1769,"sona_ucsd"
1770,"sona_ucsd"
1771,"sona_ucsd"
1772,"sona_ucsd"
1773,"sona_ucsd"
1774,"sona_ucsd"
1775,"sona_ucsd"
1776,"sona_ucsd"
1777,"sona_ucsd"
1778,"sona_ucsd"
1779,"sona_ucsd"
1780,"sona_ucsd"
1781,"sona_ucsd"
1782,"sona_ucsd"
1783,"sona_ucsd"
1784,"sona_ucsd"
1785,"sona_ucsd"
1786,"sona_ucsd"
1787,"sona_ucsd"
1788,"sona_ucsd"
1790,"sona_ucsd"
1791,"sona_ucsd"
1792,"sona_ucsd"
1793,"sona_ucsd"
1794,"sona_ucsd"
1795,"sona_ucsd"
1796,"sona_ucsd"
1797,"sona_ucsd"
1798,"sona_ucsd"
1799,"sona_ucsd"
1800,"sona_ucsd"
1801,"sona_ucsd"
1803,"sona_ucsd"
1804,"sona_ucsd"
1805,"sona_ucsd"
1806,"sona_ucsd"
1807,"sona_ucsd"
1808,"sona_ucsd"
1809,"sona_ucsd"
1810,"sona_ucsd"
1811,"sona_ucsd"
1812,"sona_ucsd"
1813,"sona_ucsd"
1814,"sona_ucsd"
1815,"sona_ucsd"
1816,"sona_ucsd"
1817,"sona_ucsd"
1818,"sona_ucsd"
1819,"sona_ucsd"
1820,"sona_ucsd"
1821,"sona_ucsd"
1822,"sona_ucsd"
1823,"sona_ucsd"
1824,"sona_ucsd"
1825,"sona_ucsd"
1826,"sona_ucsd"
1827,"sona_ucsd"
1828,"sona_ucsd"
1829,"sona_ucsd"
1830,"sona_ucsd"
1831,"sona_ucsd"
1832,"sona_ucsd"
1833,"sona_ucsd"
1834,"sona_ucsd"
1836,"sona_ucsd"
1837,"sona_ucsd"
1838,"sona_ucsd"
1839,"sona_ucsd"
1840,"sona_ucsd"
1841,"sona_ucsd"
1842,"sona_ucsd"
1843,"sona_ucsd"
1845,"sona_ucsd"
1846,"sona_ucsd"
1847,"sona_ucsd"
1849,"sona_ucsd"
1850,"sona_ucsd"
1851,"sona_ucsd"
1852,"sona_ucsd"
1853,"sona_ucsd"
1854,"sona_ucsd"
1855,"sona_ucsd"
1856,"sona_ucsd"
1858,"sona_ucsd"
1859,"sona_ucsd"
1860,"sona_ucsd"
1861,"sona_ucsd"
1863,"sona_ucsd"
1864,"sona_ucsd"
1865,"sona_ucsd"
1866,"sona_ucsd"
1868,"sona_ucsd"
1869,"sona_ucsd"
1870,"sona_ucsd"
1871,"sona_ucsd"
1872,"sona_ucsd"
1873,"sona_ucsd"
1874,"sona_ucsd"
1875,"sona_ucsd"
1876,"sona_ucsd"
1877,"sona_ucsd"
1878,"sona_ucsd"
1879,"sona_ucsd"
1881,"sona_ucsd"
1882,"sona_ucsd"
1884,"sona_ucsd"
1885,"sona_ucsd"
1886,"sona_ucsd"
1887,"sona_ucsd"
1888,"sona_ucsd"
1889,"sona_ucsd"
1890,"sona_ucsd"
1891,"sona_ucsd"
1892,"sona_ucsd"
1893,"sona_ucsd"
1894,"sona_ucsd"
1895,"sona_ucsd"
1896,"sona_ucsd"
1897,"sona_ucsd"
1898,"sona_ucsd"
1899,"sona_ucsd"
1900,"sona_ucsd"
1901,"sona_ucsd"
1902,"sona_ucsd"
1903,"sona_ucsd"
1904,"sona_ucsd"
1905,"sona_ucsd"
1907,"sona_ucsd"
1909,"sona_ucsd"
1910,"sona_ucsd"
1911,"sona_ucsd"
1912,"sona_ucsd"
1915,"sona_ucsd"
1916,"sona_ucsd"
1917,"sona_ucsd"
1918,"sona_ucsd"
1919,"sona_ucsd"
1921,"sona_ucsd"
1922,"sona_ucsd"
1923,"sona_ucsd"
1924,"sona_ucsd"
1925,"sona_ucsd"
1926,"sona_ucsd"
1927,"sona_ucsd"
1930,"sona_ucsd"
1931,"sona_ucsd"
1932,"sona_ucsd"
1933,"sona_ucsd"
1934,"sona_ucsd"
1935,"sona_ucsd"
1936,"sona_ucsd"
1937,"sona_ucsd"
1938,"sona_ucsd"
1939,"sona_ucsd"
